2023-12-27 11:56:06,dynamic,bus
2023-12-27 11:56:09,Type2,motorcycles
2023-12-27 11:56:13,Type2,motorcycles
2023-12-27 11:56:14,Type2,motorcycles
2023-12-27 11:56:15,Type2,bicycles
2023-12-27 11:56:17,Type2,traffic lights
2023-12-27 11:56:18,Type2,traffic lights
2023-12-27 11:56:21,Type2,traffic lights
2023-12-27 11:56:24,Type2,traffic lights
2023-12-27 11:56:25,Type2,traffic lights
2023-12-27 11:56:29,Type2,motorcycles
2023-12-27 11:56:33,Type2,motorcycles
2023-12-27 11:56:34,Type2,motorcycles
2023-12-27 11:56:38,Type2,buses
2023-12-27 11:56:45,Type2,traffic lights
2023-12-27 11:56:46,Type2,traffic lights
2023-12-27 11:56:48,Type2,bicycles
2023-12-27 11:56:49,Type2,bicycles
2023-12-27 11:56:52,Type2,stairs
2023-12-27 11:56:53,Type2,stairs
2023-12-27 11:56:54,Type2,crosswalks
2023-12-27 11:56:55,Type2,crosswalks
2023-12-27 11:56:55,Type2,traffic lights
2023-12-27 11:56:58,Type2,crosswalks
2023-12-27 11:56:59,Type2,crosswalks
2023-12-27 11:56:59,Type2,motorcycles
2023-12-27 11:57:05,Type2,bicycles
2023-12-27 11:57:06,Type2,bicycles
2023-12-27 11:57:06,Type2,traffic lights
2023-12-27 11:57:07,Type2,taxis
2023-12-27 11:57:08,Type2,taxis
2023-12-27 11:57:08,Type2,buses
2023-12-27 11:57:11,Type2,motorcycles
2023-12-27 11:57:12,Type2,motorcycles
2023-12-27 11:57:12,Type2,motorcycles
2023-12-27 11:57:19,Type2,fire hydrants
2023-12-27 11:57:20,Type2,fire hydrants
2023-12-27 11:57:24,Type2,bicycles
2023-12-27 11:57:26,Type2,motorcycles
2023-12-27 11:57:27,Type2,motorcycles
2023-12-27 11:57:31,Type2,traffic lights
2023-12-27 11:57:32,Type2,traffic lights
2023-12-27 11:57:35,Type2,traffic lights
2023-12-27 11:57:36,Type2,traffic lights
2023-12-27 11:57:38,Type2,traffic lights
2023-12-27 11:57:39,Type2,traffic lights
2023-12-27 11:57:41,Type2,traffic lights
2023-12-27 11:57:44,SOLVED,captcha solved
