2023-12-27 12:11:02,dynamic,cars
2023-12-27 12:11:04,Type2,motorcycles
2023-12-27 12:11:08,Type2,traffic lights
2023-12-27 12:11:09,Type2,traffic lights
2023-12-27 12:11:11,Type2,bicycles
2023-12-27 12:11:12,Type2,bicycles
2023-12-27 12:11:19,Type2,motorcycles
2023-12-27 12:11:19,Type2,motorcycles
2023-12-27 12:11:24,Type2,traffic lights
2023-12-27 12:11:25,Type2,traffic lights
2023-12-27 12:11:27,Type2,motorcycles
2023-12-27 12:11:31,Type2,buses
2023-12-27 12:11:32,Type2,buses
2023-12-27 12:11:36,Type2,motorcycles
2023-12-27 12:11:41,Type2,bicycles
2023-12-27 12:11:42,Type2,bicycles
2023-12-27 12:11:44,Type2,bicycles
2023-12-27 12:11:49,SOLVED,captcha solved
